name,gender
Ève,F
Øistein,M
Øivind,M
Øivor,F
Øjvind,M
Ørjan,M
Ørnulf,M
Øystein,M
Øyvind,M
Øyvor,F
Ângela,F
Ângelo,M
Óðinn,M
Ófeigur,M
Óla,F
Ólöf,F
Ólafía,F
Ólafur,M
Ólína,F
Óli,M
Ómar,M
Órlaith,F
Óscar,M
Ósk,F
Óskar,M
Ósvaldur,M
Óttar,M
Óttarr,M
Ädu,M
Ägidius,M
Älke,?
Ännchen,F
Änne,F
A+Lian,?
A+Mei,?
A+Min,?
A+Ying,?
Ådne,M
Åge,M
Ågot,F
Ågoth,F
Åke,M
Åsa,F
Åse,F
Åsgeir,M
Åshild,F
Åslaug,F
Åsmund,M
Åste,F
Ægir,M
Æsa,F
Ævar,M
Ævarr,M
Çajup,M
Çelik,M
Çetin,M
Çiçek,F
Çiljeta,F
Çimen,F
Õie,F
Õlme,F
Éabha,F
Éadaoin,F
Éamonn,M
Éanna,M
Éibhear,M
Élaine,F
Élcio,M
Élia,M
Élio,M
Énio,M
Éponine,F
Éva,F
Íñigo,M
Ábel,M
Ída,F
Ádám,M
Íde,F
África,F
Ágúst,M
Ágústa,F
Ágústína,F
Ági,F
Ági,=
Ágnes,F
Ágoston,M
Ágota,F
Águeda,F
Áine,F
Áki,M
Ákos,M
Álfdís,F
Álfheiður,F
Álfhildur,F
Álfrún,F
Álmos,M
Álvara,F
Álvaro,M
Ýmir,M
Ámundi,M
Ína,F
Ángel,M
Ángela,F
Ángeles,F
Ír,F
Ýr,F
Áróra,F
Árdís,F
Írena,F
Ýrgrun,F
Íris,F
Ármann,M
Ármey,F
Árný,F
Árnína,F
Árni,M
Áron,M
Árpád,M
Ýrr,F
Ársæll,M
Ása,F
Ásþór,M
Ísólfur,M
Ísabella,F
Ísafold,F
Ísak,M
Ísar,M
Ásberg,M
Ásbjörg,F
Ásbjörn,M
Ásdís,F
Ísey,F
Ásgeir,M
Ásgerður,F
Ásgrímur,M
Áshildur,F
Ísidór,M
Áskell,M
Áslaug,F
Áslaugur,M
Ísleifur,M
Ásmundur,M
Ásrún,F
Ásta,F
Ástþór,M
Ástbjörg,F
Ástbjörn,M
Ástdís,F
Ástfríður,F
Ásthildur,F
Ástmar,M
Ástmundur,M
Ástráður,M
Ástrós,F
Ástríður,F
Ástrún,F
Ástvaldur,M
Ásvaldur,M
Áurea,F
Íva,F
Ívar,M
Aïda,F
Aðalbjörg,F
Aðalbjörn,M
Aðalgeir,M
Aðalheiður,F
Aðalsteinn,M
Aþena,F
Aaban,M
Aabha,F
Aabid,M
Aabidah,F
Aabir,M
Aabriella,F
Aad,M
Aada,F
Aadam,M
Aadan,M
Aadarsh,M
Aadav,M
Aadaya,F
Aaden,M
Aaden,F
Aadesh,M
Aadhan,M
Aadhav,M
Aadhavan,M
Aadhi,M
Aadhira,F
Aadhiran,M
Aadhvik,M
Aadhvika,F
Aadhya,F
Aadhyan,M
Aadhyareddy,F
Aadhyasri,F
Aadi,M
Aadi,F
Aadian,M
Aadil,M
Aadilynn,F
Aadin,M
Aadish,M
Aadison,F
Aadit,M
Aadith,M
Aadithya,M
Aaditri,F
Aaditya,M
Aadiv,M
Aadiya,F
Aadje,F
Aadon,M
Aadrian,M
Aadrika,F
Aadrit,M
Aadriti,F
Aadu,M
Aadvi,F
Aadvik,M
Aadvika,F
Aadya,F
Aadyant,M
Aadyn,M
Aadyn,F
Aafia,F
Aafiya,F
Aafiyah,F
Aafke,F
Aafke,?
Aafkea,F
Aafko,M
Aafreen,F
Aagam,M
Aage,M
Aagje,F
Aagna,F
Aagot,F
Aagoth,F
Aahaan,M
Aahan,M
Aahana,F
Aaheli,F
Aahil,M
Aahir,M
Aahliyah,F
Aahna,F
Aahron,M
Aaidan,M
Aaiden,M
Aaidyn,M
Aaila,F
Aailiyah,F
Aailyah,F
Aaima,F
Aaira,F
Aairah,F
Aaisha,F
Aaishah,F
Aaiyana,F
Aaiza,F
Aaja,F
Aajah,F
Aajaylah,F
Aajon,M
Aakanksha,F
Aakarsh,M
Aakash,M
Aakeem,M
Aakif,M
Aakil,M
Aakilah,F
Aakira,F
Aakiyah,F
Aakriti,F
Aala,F
Aalaiya,F
Aalaiyah,F
Aalam,M
Aalana,F
Aalanah,F
Aalani,F
Aalap,M
Aalasia,F
Aalaya,F
Aalayah,F
Aalayiah,F
Aalayjah,F
Aalayna,F
Aalaysha,F
Aalaysia,F
Aalbert,M
Aalderich,M
Aalderk,M
Aaldrik,M
Aale,M
Aalea,F
Aaleah,F
Aaleahya,F
Aaleayah,F
Aaleena,F
Aaleeya,F
Aaleeyah,F
Aaleiah,F
Aaleigha,F
Aaleiya,F
Aaleiyah,F
Aalena,F
Aalexis,F
Aalexus,F
Aaleya,F
Aaleyah,F
Aali,M
Aalia,F
Aaliah,F
Aaliana,F
Aalias,M
Aaliayah,F
Aaliayh,F
Aalicia,F
Aalieyah,F
Aaliha,F
Aalijah,F
Aalijah,M
Aalilah,F
Aalim,M
Aalimah,F
Aalin,F
Aalina,F
Aalinah,F
Aalisa,F
Aalisha,F
Aalivia,F
Aaliya,F
Aaliyaa,F
Aaliyah,F
Aaliyah,M
Aaliyaha,F
Aaliyahmarie,F
Aaliyahrose,F
Aaliyan,F
Aaliyan,M
Aaliyana,F
Aaliyanna,F
Aaliyha,F
Aaliyiah,F
Aalke,F
Aalliyah,F
Aallyah,F
Aalok,M
Aalon,M
Aaloni,F
Aalt,M
Aaltien,F
Aaltinus,M
Aaltje,F
Aaltsje,F
Aalya,F
Aalyah,F
Aalycia,F
Aalyha,F
Aalyia,F
Aalyiah,F
Aalyna,F
Aalysia,F
Aalyssa,F
Aalyvia,F
Aamanda,F
Aamanee,F
Aamani,F
Aamar,M
Aamari,F
Aamari,M
Aamarion,M
Aamaya,F
Aamber,F
Aamena,F
Aamer,M
Aamia,F
Aamil,M
Aamilah,F
Aamina,F
Aaminah,F
Aamir,M
Aamir,F
Aamira,F
Aamirah,F
Aamiya,F
Aamiyah,F
Aamna,F
Aamoni,F
Aamora,F
Aamorah,F
Aamori,F
Aamya,F
Aamyah,F
Aana,F
Aanand,M
Aanav,M
Aanay,M
Aanaya,F
Aanchal,F
Aania,F
Aaniah,F
Aanijah,F
Aanik,M
Aanika,F
Aanisah,F
Aaniya,F
Aaniyah,F
Aaniylah,F
Aansh,M
Aanshi,F
Aanvi,F
Aanya,F
Aanyah,F
Aanyla,F
Aapeli,M
Aapo,M
Aappo,M
Aapri,F
Aaqib,M
Aaqil,M
Aara,F
Aarón,M
Aarabella,F
Aarabhi,F
Aaradhana,F
Aaradhy,M
Aaradhya,F
Aaraf,M
Aaraiz,M
Aaral,F
Aaralyn,F
Aaralynn,F
Aaran,M
Aaranya,F
Aaraon,M
Aaratrika,F
Aarav,M
Aaravi,F
Aaravreddy,M
Aaraya,F
Aard,M
Aare,M
Aaren,M
Aaren,F
Aarent,M
Aareon,F
Aareon,M
Aareona,F
Aari,M
Aari,F
Aaria,F
Aariah,F
Aarian,F
Aarian,M
Aariana,F
Aarianna,F
Aarib,M
Aaric,M
Aarica,F
Aarick,M
Aarie,F
Aariel,F
Aariella,F
Aarielle,F
Aarien,M
Aarik,M
Aarika,F
Aariketh,M
Aarilyn,F
Aarilynn,F
Aarin,F
Aarin,M
Aarini,F
Aarion,M
Aarion,F
Aariona,F
Aarionna,F
Aaris,M
Aaris,F
Aarish,M
Aarit,M
Aariv,M
Aariya,F
Aariyah,F
Aariyan,M
Aariyana,F
Aariyanna,F
Aariyona,F
Aariyonna,F
Aariz,M
Aarjan,M
Aarjav,M
Aarn,M
Aarna,F
Aarnav,M
Aarnavi,F
Aarne,M
Aarni,M
Aarnika,F
Aarno,M
Aarnoud,M
Aarnout,M
Aaro,M
Aaroh,M
Aarohan,M
Aarohi,F
Aarolyn,F
Aaron,M
Aaron,F
Aarona,F
Aaronae,F
Aaronda,F
Aaronette,F
Aaronisha,F
Aaronjacob,M
Aaronjames,M
Aaronjohn,M
Aaronjoseph,M
Aaronjosh,M
Aaronjoshua,M
Aaronlee,M
Aaronmichael,M
Aaronn,M
Aaroosh,M
Aarre,M
Aarren,M
Aarron,M
Aarsh,M
Aarshi,F
Aarshiya,F
Aart,M
Aarthi,F
Aarti,F
Aaruhi,F
Aarunya,F
Aarush,M
Aarushi,F
Aarushreddy,M
Aarvi,F
Aarvik,M
Aarvika,F
Aarvin,M
Aary,M
Aarya,F
Aarya,M
Aaryah,F
Aaryahi,F
Aaryan,M
Aaryan,F
Aaryana,F
Aaryanna,F
Aaryansh,M
Aaryash,M
Aaryav,M
Aaryn,F
Aaryn,M
Aarynn,F
Aaryon,M
Aaryona,F
Aarza,F
Aase,F
Aaseem,M
Aaser,M
Aasha,F
Aashana,F
Aashay,M
Aasher,M
Aashi,F
Aashia,F
Aashika,F
Aashild,F
Aashini,F
Aashir,M
Aashirya,F
Aashish,M
Aashita,F
Aashiyana,F
Aashka,F
Aashman,M
Aashna,F
Aashni,F
Aashray,M
Aashrita,F
Aashrith,M
Aashritha,F
Aashriya,F
Aashvi,F
Aashvik,M
Aasia,F
Aasiah,M
Aasim,M
Aasin,M
Aasir,M
Aasiya,F
Aasiyah,F
Aason,M
Aastha,F
Aat,M
Aatami,M
Aathan,M
Aathira,F
Aatif,M
Aatikah,F
Aatish,M
Aatos,M
Aatto,M
Aatu,M
Aava,F
Aavah,F
Aavan,M
Aavani,F
Aavash,M
Aave,F
Aaven,M
Aavi,M
Aavin,M
Aavion,M
Aavir,M
Aavish,M
Aavo,M
Aavya,F
Aavyan,M
Aavyn,F
Aavyn,M
Aaya,F
Aayaan,M
Aayah,F
Aayam,M
Aayan,M
Aayana,F
Aayanah,F
Aayanna,F
Aayansh,M
Aayat,F
Aaydan,M
Aayden,M
Aayden,F
Aayla,F
Aaylah,F
Aayliah,F
Aayon,M
Aayra,F
Aayu,M
Aayush,M
Aayusha,F
Aayushi,F
Aazan,M
Aazeen,F
Aazil,M
Aazim,M
Aaziyah,F
Ab,M
Aba,F
Aba,M
Abaan,M
Abaas,M
Abad,M
Abagael,F
Abagail,F
Abagaile,F
Abagale,F
Abagayle,F
Abai,M
Abaigael,F
Abaigail,F
Abaigeal,F
Abília,F
Abílio,M
Aban,M
Abanoub,M
Abas,M
Abasi,M
Abass,M
Abay,M
Abayomi,M
Abaz,M
Abb,M
Abba,F
Abba,M
Abbaas,M
Abbagail,F
Abbagale,F
Abbagayle,F
Abbas,M
Abbe,F
Abbe,?
Abbee,F
Abbegail,F
Abbegale,F
Abbegayle,F
Abbey,M
Abbey,F
Abbeygail,F
Abbeygale,F
Abbi,F
Abbie,F
Abbie,M
Abbiegail,F
Abbiegale,F
Abbiegayle,F
Abbigael,F
Abbigail,F
Abbigail,M
Abbigaile,F
Abbigal,F
Abbigale,F
Abbigayl,F
Abbigayle,F
Abbilyn,F
Abbo,M
Abbondanza,F
Abbondanzio,M
Abbondio,M
Abbot,M
Abbott,M
Abbott,F
Abbra,F
Abbrianna,F
Abbriella,F
Abbrielle,F
Abby,F
Abby,M
Abbye,F
Abbygael,F
Abbygail,F
Abbygaile,F
Abbygale,F
Abbygayl,F
Abbygayle,F
Abbylynn,F
Abcde,F
Abd,M
Abdülhalim,M
Abdülhamid,M
Abdülkadir,M
Abdülkerim,M
Abdüllatif,M
Abdülsamet,M
Abdal,M
Abdal+Salam,M
Abdala,M
Abdalah,M
Abdalla,M
Abdallah,M
Abdalrahman,M
Abdalrhman,M
Abdel,M
Abdel+Aziz,M
Abdel+Fattah,M
Abdel+Ghani,M
Abdel+Hafid,M
Abdel+Hafiz,M
Abdel+Hak,M
Abdel+Hakim,M
Abdel+Halim,M
Abdel+Hamid,M
Abdel+Kader,M
Abdel+Karim,M
Abdel+Latif,M
Abdel+Majid,M
Abdel+Rahman,M
Abdelaziz,M
Abdelhadi,M
Abdelhamid,M
Abdelilah,M
Abdelkader,M
Abdelkareem,M
Abdelkarim,M
Abdellah,M
Abdelrahman,M
Abdelrhman,M
Abder+Rahim,M
Abder+Rahman,M
Abder+Rahmane,M
Abder+Razak,M
Abderrahman,M
Abdeslam,M
Abdi,M
Abdi,F
Abdia,F
Abdias,M
Abdiasis,M
Abdiaziz,M
Abdiel,M
Abdifatah,M
Abdihafid,M
Abdihakim,M
Abdihamid,M
Abdija,M
Abdikadir,M
Abdikarim,M
Abdikhaliq,M
Abdilahi,M
Abdimalik,M
Abdinajib,M
Abdinasir,M
Abdiqani,M
Abdirahim,M
Abdirahin,M
Abdirahman,M
Abdirashid,M
Abdirisaq,M
Abdirizak,M
Abdirizaq,M
Abdisalam,M
Abdisalan,M
Abdisamad,M
Abdishakur,M
Abdiwahab,M
Abdiwali,M
Abdo,M
Abdol+Karim,M
Abdol+Reza,M
Abdol+Saleh,M
Abdon,M
Abdorassoul,M
Abdou,M
Abdoul,M
Abdoulaye,M
Abdoulaziz,M
Abdoulie,M
Abdourahman,M
Abdourahmane,M
Abdrahman,M
Abdrew,M
Abdriel,M
Abdu,M
Abdual,M
Abduallah,M
Abduel,M
Abduh,M
Abdul,M
Abdul+Ahad,M
Abdul+Azim,M
Abdul+Aziz,M
Abdul+Bagi,M
Abdul+Basit,M
Abdul+Ghani,M
Abdul+Hadi,M
Abdul+Hafiz,M
Abdul+Hakim,M
Abdul+Halim,M
Abdul+Hamid,M
Abdul+Haq,M
Abdul+Jabbar,M
Abdul+Kader,M
Abdul+Kadir,M
Abdul+Kareem,M
Abdul+Karim,M
Abdul+Khaliq,M
Abdul+Latif,M
Abdul+Majeed,M
Abdul+Qadeer,M
Abdul+Qader,M
Abdul+Rahman,M
Abdul+Razzak,M
Abdul+Reza,M
Abdul+Salam,M
Abdul+Sattar,M
Abdul+Wahab,M
Abdula,M
Abdulah,M
Abdulahad,M
Abdulahi,M
Abdulai,M
Abdulaye,M
Abdulazeem,M
Abdulazeez,M
Abdulazim,M
Abdulaziz,M
Abdulbaki,M
Abdulbari,M
Abdulbasit,M
Abdulcabbar,M
Abdule,M
Abdulelah,M
Abdulghani,M
Abdulhaadi,M
Abdulhadi,M
Abdulhakeem,M
Abdulhakim,M
Abdulhalim,M
Abdulhameed,M
Abdulhamid,M
Abdulilah,M
Abduljabbar,M
Abduljaleel,M
Abduljalil,M
Abdulkader,M
Abdulkadir,M
Abdulkadyr,M
Abdulkareem,M
Abdulkarim,M
Abdulkerim,M
Abdulkhaliq,M
Abdull,M
Abdulla,M
Abdullah,M
Abdullahi,M
Abdullatif,M
Abdulloh,M
Abdulmajeed,M
Abdulmajid,M
Abdulmalek,M
Abdulmalik,M
Abdulmannan,M
Abdulmedjit,M
Abdulmohsen,M
Abdulnasir,M
Abdulqadir,M
Abdulraheem,M
Abdulrahim,M
Abdulrahman,M
Abdulrazaq,M
Abdulrehman,M
Abdulrhman,M
Abdulsalam,M
Abdulsamad,M
Abdulsamet,M
Abdulwadud,M
Abdulwahab,M
Abdulwahid,M
Abdulwali,M
Abdur,M
Abdur+Rahim,M
Abdur+Rahman,M
Abdurahim,M
Abdurahman,M
Abdurahmon,M
Abdurraheem,M
Abdurrahim,M
Abdurrahmaan,M
Abdurrahman,M
Abdurrehman,M
Abdussamad,M
Abdyl,M
Abe,M
Abe,=
Abeal,M
Abed,M
Abeda,F
Abedallah,M
Abedalrahman,M
Abedin,M
Abednego,M
Abeeha,F
Abeer,F
Abeer,M
Abeera,F
Abegail,F
Abegale,F
Abegayle,F
Abel,M
Abel,F
Abela,F
Abelardo,M
Abele,M
Abelia,F
Abelina,F
Abeline,F
Abelino,M
Abelio,M
Abelius,M
Abell,F
Abell,M
Abella,F
Abelle,F
Abem,M
Aben,M
Abena,F
Abenezer,M
Abeni,F
Aber,F
Aberdeen,F
Aberham,M
Abernathy,F
Abert,M
Abery,F
Abey,M
Abey,F
Abgail,F
Abha,F
Abhay,M
Abhaya,F
Abheek,M
Abhi,M
Abhigna,F
Abhijay,M
Abhijeet,M
Abhijit,M
Abhijot,M
Abhik,M
Abhilash,M
Abhilasha,F
Abhimanyu,M
Abhinav,M
Abhinay,M
Abhinaya,F
Abhir,M
Abhiraam,M
Abhiraj,M
Abhiram,M
Abhirami,F
Abhirup,M
Abhishek,M
Abhyuday,M
Abi,F
Abi,M
Abia,F
Abiageal,F
Abiah,F
Abiah,M
Abian,M
Abianna,F
Abibail,F
Abid,M
Abida,F
Abidah,F
Abidan,M
Abidin,M
Abie,M
Abie,F
Abiegail,F
Abiel,M
Abiel,F
Abiela,F
Abiella,F
Abiezer,M
Abigaël,F
Abigaëlle,F
Abigael,F
Abigael,M
Abigaelle,F
Abigahil,F
Abigai,F
Abigail,F
Abigail,M
Abigaile,F
Abigailgrace,F
Abigaille,F
Abigailmarie,F
Abigailrose,F
Abigal,F
Abigale,F
Abigayil,F
Abigayl,F
Abigayle,F
Abigayle,M
Abigeal,F
Abigel,F
Abigial,F
Abiha,F
Abihail,F
Abijah,M
Abijah,F
Abilene,F
Abilgail,F
Abilia,F
Abilio,M
Abilyn,F
Abilynn,F
Abimael,M
Abimbola,F
Abimbola,M
Abimelec,M
Abin,M
Abinadab,M
Abinadi,M
Abinav,M
Abinaya,F
Abiodun,M
Abiola,F
Abiola,M
Abiona,F
Abir,F
Abir,M
Abira,F
Abiram,M
Abirami,F
Abisag,F
Abisai,M
Abisai,F
Abisaid,M
Abish,F
Abisha,F
Abishai,M
Abishai,F
Abishek,M
Abisola,F
Abiud,M
Abiy,M
Abiya,F
Abiyah,F
Abiyah,M
Abla,F
Ablah,F
Ablakat,F
Able,M
Abnel,M
Abner,M
Abney,M
Abney,F
Abniel,M
Abony,F
Abou,M
Aboubacar,M
Aboubakar,M
Abra,F
Abraão,M
Abraam,M
Abraar,M
Abrah,F
Abraham,M
Abraham,F
Abrahan,M
Abraheem,M
Abrahem,M
Abrahim,M
Abrahm,M
Abram,M
Abramina,F
Abramo,M
Abran,M
Abranda,F
Abrar,F
Abrar,M
Abraxas,F
Abraxas,M
Abraya,F
Abrea,F
Abreana,F
Abreanna,F
Abree,F
Abreia,F
Abrem,M
Abren,M
Abreona,F
Abreonna,F
Abrey,F
Abreya,F
Abrham,M
Abri,F
Abria,F
Abriah,F
Abrial,F
Abriam,M
Abrian,M
Abrian,F
Abriana,F
Abrianna,F
Abriannah,F
Abrianne,F
Abrie,F
Abriel,M
Abriel,F
Abriela,F
Abriele,F
Abriella,F
Abrielle,F
Abrien,M
Abrienne,F
Abrigail,F
Abrihet,F
Abril,F
Abril,M
Abrille,F
Abrina,F
Abrion,M
Abriona,F
Abrionna,F
Abrish,F
Abriya,F
Abriyah,F
Abriyana,F
Abrom,M
Abron,M
Abrum,M
Abry,F
Abryana,F
Abryanna,F
Abryella,F
